Gamertag,Date_start,Date_end
Aaa is back,2010-09-13,2011-09-01
AaaaaawwwwwTiTS,2010-09-13,2011-12-28
Aabay Fenax,2010-10-14,2010-12-30
AaBeto93,2010-09-14,2011-07-08
Aabraham02,2010-09-18,2011-11-27
Aaca Daca,2010-10-07,2012-02-25
AaCcrZ,2010-12-25,2011-12-22
Aacidus,2010-10-09,2011-08-27
Aacomp88,2011-01-16,2012-03-31
Aacron83,2011-12-29,2012-03-28
AaD2 HiTmAn GoD,2010-09-14,2010-11-16
Aadam Harvey,2010-10-01,2010-10-17
Aadam9,2010-09-15,2012-02-19
Aadanedhel,2010-09-14,2010-11-06
AaDarkKiller55,2011-03-14,2012-01-28
AaDarkUSCIEL666,2010-10-08,2012-03-30
AaDavies,2010-09-14,2012-01-09
Aader,2010-11-23,2011-12-11
Aadersadam93,2010-09-20,2011-04-03
AaDGlad,2010-09-14,2011-12-25
Aadi B,2010-09-13,2012-03-31
AaDoHa,2010-09-13,2012-02-23
Aadreona,2010-09-14,2012-01-29
Aadriiana,2011-11-09,2011-12-08
Aaeris Jord,2010-12-22,2011-10-01
Aaerlador1,2011-02-08,2011-10-31
Aaeru Chambers,2010-09-21,2011-12-21
Aaeru354296,2010-09-14,2012-03-14
AaFa09,2010-11-12,2012-03-30
Aaffzzaall,2010-10-24,2012-03-21
AaFuri0usG0at92,2010-09-14,2012-03-04
Aagaard92,2011-12-26,2012-03-30
Aagame007,2010-12-24,2012-01-06
AaGaMeG0d,2010-09-18,2012-02-18
AaGamerFreak,2010-09-14,2012-01-01
Aagesen,2010-09-14,2011-04-11
AagrbY,2011-01-02,2012-03-24
Aahmiral,2010-09-15,2012-03-31
Aahz89,2011-03-21,2012-03-30
Aahzlan,2010-09-14,2011-06-13
AaI2oN420,2010-09-13,2011-02-11
AaimK,2010-09-13,2010-12-12
Aairo,2010-09-13,2012-02-25
AaJolV,2010-12-27,2012-03-30
Aak 23,2010-09-16,2012-02-22
Aakerhjelm,2010-09-15,2012-03-03
Aakhir,2010-12-07,2012-03-30
Aakin,2011-12-26,2012-03-04
Aakumaru,2010-09-14,2012-03-24
AakwaardPaandaa,2010-09-22,2011-07-07
Aalaan08,2011-01-02,2012-02-25
Aalan 58,2010-09-15,2011-12-17
Aalanah,2011-02-04,2011-11-09
AaLaNn,2010-09-19,2011-11-06
Aalberto3,2011-07-25,2012-03-22
AaleEcXxX,2010-10-01,2011-01-27
Aaleeexxx,2010-09-14,2011-07-10
Aaleerha,2010-09-26,2012-03-31
Aaleexxx 9627,2010-11-05,2012-03-19
AaLeExXxXx,2011-08-27,2012-03-31
Aalehn,2011-01-06,2012-02-23
AalexanderTGA,2012-01-08,2012-03-25
AaLEXIS 011,2011-12-05,2012-01-25
AalexoO33,2012-02-03,2012-03-30
Aaliyah92,2010-09-20,2011-12-29
AaliyahBlack,2010-09-13,2011-10-16
Aam0n,2011-12-25,2012-03-19
Aam95,2012-02-07,2012-03-30
Aamedz,2011-02-24,2012-02-18
AamendMentS,2011-06-06,2011-06-22
Aamex,2010-09-14,2012-03-31
Aamil122,2010-09-20,2011-09-03
Aaminah,2010-09-30,2012-02-22
Aamir superbad,2010-09-14,2011-02-12
AamirC,2010-09-24,2011-12-11
AamirM786,2010-09-14,2012-03-01
AaMmZz,2010-09-14,2011-07-17
Aamoosey6,2010-10-11,2011-09-21
Aamori,2011-08-23,2011-12-23
Aamos,2011-07-23,2012-03-22
AamotPoison,2010-09-14,2011-07-31
Aan Monkey,2010-09-19,2012-03-26
AanAll3in,2010-09-14,2011-09-18
Aanathan,2010-09-14,2012-03-15
AanDdreZz,2010-09-30,2012-01-12
Aanderzgl10,2011-01-27,2012-02-03
AandJ4ever,2010-09-30,2011-05-14
AandM MUG,2010-09-16,2011-08-11
Aandolek,2010-09-13,2011-12-10
Aandonk,2010-09-14,2011-08-06
AandrEe204,2010-09-17,2012-03-30
Aandree96,2011-04-12,2012-03-18
AaNdrREeS,2010-09-16,2012-03-31
AaNdrREeS XD,2011-01-04,2012-03-31
AaNeR,2010-09-14,2012-03-31
Aang89442,2010-09-17,2011-01-08
AangEeLiiToO,2010-12-14,2011-03-16
Aangkai,2010-09-13,2012-03-19
AangryRussin,2010-10-17,2010-11-12
Aanishinaabe715,2010-09-17,2012-02-18
AaNjiI bImAdiZi,2012-02-10,2012-02-24
AaNnGgEeLlXx,2011-06-19,2011-11-03
AanNtTraXx,2011-03-17,2012-03-30
Aanrul,2010-12-30,2012-03-31
AaO 4 SHoTzz,2010-09-14,2011-08-07
AaO Brute,2010-09-13,2011-06-10
AaO Greek One,2010-09-14,2010-10-15
AaO R3APER,2010-09-14,2011-03-13
AaO Scout,2010-09-13,2011-06-13
AaO SOUNDWAVE,2010-09-14,2011-09-17
AaO Wreckless,2010-12-20,2010-12-31
AaO x AidanJR,2011-04-12,2012-01-19
Aaon187,2010-09-17,2011-02-25
Aaora,2010-09-13,2011-12-29
Aaox00541,2010-09-18,2011-08-15
Aap300,2011-02-21,2012-03-14
Aape91,2012-01-23,2012-03-31
Aapie 11,2010-10-01,2011-09-30
Aapis Kukko,2010-09-21,2010-10-09
Aaples N Banana,2010-09-27,2012-03-30
AapLoveRikk,2010-10-14,2011-06-03
AapoKiuru,2012-01-20,2012-03-25
Aapollo,2010-09-13,2011-03-19
Aaptronym,2010-09-14,2012-03-05
Aaqua79,2010-09-14,2010-10-30
Aar Elite,2010-12-07,2012-03-25
Aar0n 252,2012-01-08,2012-03-31
Aar0n Drac0,2010-09-13,2012-03-27
Aar0n Skillz,2010-11-12,2011-02-11
Aar0n223,2010-09-16,2012-01-20
Aar0n562,2010-12-28,2011-01-16
Aar0n64,2010-09-15,2012-03-03
Aar0nb100398,2011-02-25,2012-01-27
AaR0nN420,2011-10-31,2012-03-11
Aar0nR0R0,2010-11-06,2010-11-07
Aar0nRider,2011-02-05,2012-01-22
Aar0ns,2010-09-15,2011-11-25
AaR0nXx95,2010-09-15,2012-02-20
Aar1012,2010-09-13,2011-08-16
Aar427,2010-09-14,2012-03-16
Aaraakeen,2011-03-16,2011-10-09
Aaragonz,2011-06-26,2011-10-07
AaranBolden7539,2010-10-03,2011-12-03
Aarannn,2010-09-14,2011-07-15
AarBearr,2010-09-18,2011-07-16
Aarborn,2010-09-14,2012-03-04
AarcaneRage,2010-09-14,2011-12-21
Aardalen,2010-09-14,2011-12-10
Aardvark20,2010-09-14,2012-01-20
Aardvarks R Us,2010-09-14,2012-02-06
Aaron B711,2010-09-13,2010-09-29
Aaron Bosley,2010-09-15,2012-02-18
Aaron Dami,2010-09-14,2012-02-12
Aaron hjortaas,2010-12-27,2011-11-16
Aaron J Turner,2010-09-17,2011-07-25
Aaron MastChief,2010-12-04,2011-06-14
Aaron Nusrala,2010-09-14,2012-03-09
Aaron The White,2010-09-13,2012-03-24
Aaron Va,2010-09-13,2011-12-04
Aaron win,2010-10-22,2011-06-20
Aaron Yanchura,2010-09-13,2012-01-31
Aaron0skates2,2010-11-06,2011-09-05
AaRon14RJ,2011-04-17,2012-03-30
Aaron2912,2010-10-13,2011-09-14
Aaron329,2010-09-14,2012-02-20
Aaron814,,
Aaron990,2010-09-28,2011-09-19
AaronBurr 1756,2010-09-14,2011-07-18
Aarondabaron771,2010-09-14,2011-06-01
AaronDGr81,2010-12-25,2011-12-30
Aaronrodgers56,2011-05-13,2012-02-05
Aaronrox972,2010-09-14,2012-01-23
Aarons Genesis,2010-10-04,2011-05-06
AaronTheLuigi,2010-09-19,2011-08-14
AaronUK,2010-10-04,2011-06-26
AaronWJM360,2010-12-25,2011-12-26
Aartrog,2010-09-14,2012-02-18
Aasac Mor,2010-09-15,2012-03-26
Aaschli,2010-09-24,2012-01-06
Aasen 44,2010-09-13,2010-11-02
Aaserud1337,2010-09-19,2012-03-04
Aasgaroth,2010-09-14,2012-03-05
Aasheesh,2010-10-09,2011-07-04
Aasherknight,2010-09-14,2012-03-05
Aashil20,2010-12-17,2012-02-04
Aashutosh,2010-09-14,2011-11-04
Aasibs,2010-09-14,2010-10-10
Aasino,2010-09-15,2012-03-23
AaskiaA,2010-09-12,2011-04-01
AasmAAn,2010-10-02,2012-03-14
AaSminchonator,2010-10-12,2011-08-02
AaSpartan 117aA,2010-09-15,2012-02-26
Aasphaar,2010-09-12,2011-10-21
Aassault,2010-09-13,2011-11-25
AassuaIt,2010-10-01,2010-12-26
Aasta Daze,2010-10-13,2012-03-30
Aastik,2010-10-06,2011-06-09
Aasum,2010-12-31,2012-01-02
Aaternitas,2010-09-17,2012-01-01
Aaternus,2010-09-14,2011-10-01
AatheosS,2011-08-29,2011-12-25
Aatx3,2010-09-16,2012-02-10
Aau73,2011-09-12,2012-03-15
AaUndeadMarine,2010-09-14,2011-03-06
Aaura,2010-09-15,2012-03-16
AauugSite,2010-09-14,2011-11-26
Aaux Zeros,2010-12-11,2011-09-11
Aavius,2010-12-29,2011-06-19
Aavzla,2010-11-04,2011-09-10
AaWeSoMeTaCo316,2010-09-26,2011-01-22
AaWookie,2010-09-17,2012-03-25
Aax TooNinja,2010-09-14,2011-09-18
Aaxeel CR7,2012-02-07,2012-03-25
Aaxon2,2010-09-15,2011-09-13
AaXxEeLl10,2012-02-10,2012-03-08
Aay Bad One,2010-09-15,2012-03-27
Aay its da Fonz,2010-09-22,2011-08-02
Aayan prince,2010-09-14,2010-11-05
Aayan99,2010-10-15,2012-03-31
Aayla O,2010-09-16,2011-05-16
Aayush1912,2011-03-29,2011-11-23
Aazarah,2010-09-16,2011-06-23
Aazc28,2010-12-12,2012-03-23
AazzbbeekK,2011-05-24,2011-06-15
Aazzon,2010-09-15,2012-01-11
Ab3 L1nkoln,2011-06-17,2011-07-28
AbA BruunBar,2010-11-14,2012-03-29
AbA iZ CLuTcH,2010-10-15,2012-03-31
Aba Jouwa0953,2011-12-26,2012-03-30
Aba Marie,2010-09-16,2012-03-30
AbA Smule,2010-11-04,2012-03-29
AbA x JoKeR,2010-09-13,2010-10-31
Abababeebabooba,2010-09-13,2012-02-25
Ababo,2010-09-14,2012-03-30
Ababwa,2010-10-16,2011-09-05
Abachyy,2010-09-15,2012-03-25
Abacido,2010-09-14,2012-01-07
Abacriquet,2010-09-14,2012-03-30
Abacu Smash,2010-09-13,2012-02-24
Abacus 24i,2010-09-14,2012-01-26
Abacus 25i,2010-09-14,2012-01-29
Abacus Paradox,2010-09-19,2012-03-24
Abacus14,2010-09-26,2012-02-18
Abacus247,2010-09-30,2011-07-26
Abacuxs2547,2011-05-06,2012-03-30
Abacuxz523,2012-01-07,2012-03-31
Abaddon the god,2010-09-14,2011-11-05
Abandenstorm,2010-09-13,2012-03-16
AbandonAIlShips,2010-09-14,2011-04-19
Abandonation07,2011-04-16,2012-03-22
AbandonedRouge,2010-11-05,2011-04-09
AbashedNova,2010-09-14,2012-03-29
Abazaba000,2010-09-14,2012-03-05
